toxin_id,toxin_name,category,phase,cns,cvs,respiratory,gi,other,odour,route,sample
T17,Oleander,Plant/Botanical,Phase 1 — GI Phase (0–4 hrs post-ingestion),Headache; Dizziness; Mild drowsiness; Anxiety,ECG changes may begin (PR interval prolongation); Bradycardia begins; Mild hypotension,Normal,NAUSEA; VOMITING (prominent early; hallmark); Abdominal pain; Diarrhoea; Dysphagia (severe cases); Excessive salivation,Weakness; Lethargy; Visual disturbances (xanthopsia — yellow vision; classic for glycosides); Papaesthesia (tingling),NO characteristic odour (plant has mild smell but usually not detectable clinically),"Ingestion (leaves, seeds, bark — ALL parts toxic; even smoke from burning); Traditional medicine (abortifacient use India); Homicidal/suicidal",Gastric lavage (URGENT); Blood (oleandrin by LC-MS/MS); ECG monitoring; Serum K+
T17,Oleander,Plant/Botanical,Phase 2 — Cardiac Phase (4–12 hrs) — CRITICAL,Confusion; Worsening drowsiness; Syncope (from cardiac failure),CARDIAC ARRHYTHMIA (HALLMARK — multiple types): AV block (1st → complete); Bradycardia severe; Ventricular tachycardia; Ventricular fibrillation; HYPERKALAEMIA (K+ inhibition — fatal); Cardiac arrest,Dyspnoea (cardiac failure); Pulmonary oedema (cardiogenic),Vomiting persisting; Abdominal pain,HYPERKALEMIA (K+ rise — Key biochemical marker; parallels severity); Xanthopsia (yellow vision); Weakness; Syncope; Cardiac failure signs,NO characteristic odour,Ingestion,Blood (oleandrin by LC-MS/MS; cross-reacts with digoxin immunassay — use it for rapid screen); ECG (AV block type); Serum K+ (URGENT)
T17,Oleander,Plant/Botanical,Phase 3 — Late/Fatal (>12 hrs — organ failure),Coma (cardiogenic cerebral hypoperfusion); Seizures (hypoxia),Refractory arrhythmia; Complete heart block; Cardiovascular collapse; Sudden cardiac death,Pulmonary oedema; Respiratory failure,Hepatic dysfunction (ischaemia),Acute renal failure (cardiorenal syndrome); Multiorgan congestion (post-mortem hallmark); Myocardial dysfunction on histopath,NO characteristic odour,Ingestion,Post-mortem: Blood; Bile; Vitreous humour; Liver; Kidney; Gastric contents (LC-MS/MS for oleandrin)
T18,Snakebite — Neurotoxic,Envenomation,Phase 1 — Local/Early (0–1 hr post-bite),Anxiety; Headache; Drowsiness (scopolamine- like — krait); Restlessness,Normal or mild tachycardia (anxiety),Normal,Nausea; Vomiting (early — systemic absorption),LOCAL effects (COBRA): Pain at bite site; Swelling; Fang marks (two puncture wounds); Local necrosis may begin; KRAIT: minimal local reaction — deceptively mild at this stage; Paraesthesia of limb,NO characteristic odour (envenomation — odour not applicable),Subcutaneous injection (snakebite — fang penetration); Route fixed: envenomation through fang puncture,Blood (clotting time; CBC; coagulation profile); Wound assessment
T18,Snakebite — Neurotoxic,Envenomation,Phase 2 — Neurotoxic Phase (1–6 hrs) [Develops faster in Krait; slower in Cobra],NEUROMUSCULAR PARALYSIS (hallmark — descending): PTOSIS (drooping eyelids — FIRST sign of neurotoxicity); Ophthalmoplegia; Facial muscle weakness; Dysarthria; Dysphagia; KRAIT: Locked-in syndrome (reported N. India PMC 11892126),Bradycardia (cobra cardiotoxins); Hypotension,RESPIRATORY PARALYSIS (primary cause of death); Decreasing tidal volume; Cyanosis; Apnoea,Vomiting; Abdominal pain (persisting),Generalised flaccid paralysis (descending); Absent deep tendon reflexes; KRAIT bites often at night — victim wakes with paralysis; NEOSTIGMINE test can partially reverse (postsynaptic toxin — cobra responds better),NO characteristic odour,Snakebite (fang injection),Blood (clotting time; ASV response monitor); Pulse oximetry; Arterial blood gas (respiratory failure); ECG (cobra cardiotoxin)
T18,Snakebite — Neurotoxic,Envenomation,Phase 3 — Severe/Fatal (6–24 hrs untreated),Complete unresponsive paralysis; Coma (hypoxia); Brain injury,Cardiac arrest (hypoxia + cardiotoxin),Complete respiratory arrest; Apnoea; Ventilator required,,Death from respiratory failure if untreated; ASV effective if given early; Neostigmine partially reversible (cobra); Post-mortem: venom detectable in wound tissue and blood by ELISA,NO characteristic odour,Snakebite,Post-mortem: Wound tissue (venom ELISA — species-specific); Blood; Vitreous humour; Forensic: two fang marks on skin
T19,Snakebite — Haemotoxic,Envenomation,Phase 1 — Local Phase (0–2 hrs),Anxiety; Headache; Drowsiness,Normal or mild hypotension begins,Normal,Nausea; Vomiting; Abdominal pain,SEVERE LOCAL EFFECTS (hallmark Viperidae): Intense pain at bite site; Rapid swelling/oedema (spreading); Tissue necrosis begins; Blistering; Fang marks with haemorrhage; Paraesthesia; Local bleeding from fang marks,NO characteristic odour,Snakebite (fang injection),Blood (20-min whole blood clotting time — WBCT20 — bedside; PT; aPTT; fibrinogen; D-dimer); Urine (haematuria check)
T19,Snakebite — Haemotoxic,Envenomation,Phase 2 — Systemic Haemotoxic Phase (2–12 hrs) [WBCT20 prolonged = KEY diagnostic],Confusion (hypotension); Restlessness; INTRACRANIAL BLEEDING (rare but fatal — 3% PMC 11892126),Hypotension (significant); Tachycardia; SHOCK (distributive); Cardiovascular collapse,Haemoptysis (pulmonary bleeding); Dyspnoea (shock + pulmonary haemorrhage),Haematemesis (GI bleeding — 28% PMC 11892126); Abdominal pain,COAGULOPATHY (HALLMARK): DIC (disseminated intravascular coagulation); Spontaneous bleeding from gums/nose/wounds; GUM BLEEDING (47%); HAEMATURIA (38%); SUBCONJUNCTIVAL haemorrhage (3%); ECCHYMOSIS; WBCT20 prolonged (non-clotting blood — bedside test); Acute Kidney Injury,NO characteristic odour,Snakebite,Blood (WBCT20 — CRITICAL; PT; aPTT; fibrinogen; d-dimer; CBC; RFT); Urine (haematuria; RBC casts — renal); ECG
T19,Snakebite — Haemotoxic,Envenomation,Phase 3 — Organ Failure (12–72 hrs),Encephalopathy (uremia; intracranial bleed; hypotension); Coma (rare but reported),Refractory shock; Cardiovascular failure,Pulmonary haemorrhage; Respiratory failure (ARDS-like),Hepatic failure; Jaundice; GI haemorrhage persisting,ACUTE KIDNEY INJURY (hallmark delayed Russell's viper): Oliguria; Anuria; Dialysis required; Tubular necrosis; Coagulopathy persists; Rhabdomyolysis (Russell's viper myotoxin),NO characteristic odour,Snakebite,Post-mortem: Blood; Wound tissue (venom ELISA); Kidney (histopath — ATN); Liver; Adrenal glands (viper adrenal haemorrhage — classic PM)
T20,Kerosene / Petroleum Distillates,Volatile/Gas,Phase 1 — Immediate (0–30 min),"Drowsiness (mild); Dizziness; Euphoria (brief, volatile hydrocarbon CNS effect)",Tachycardia (mild; fear/aspiration response),COUGH (immediate — primary presenting sign); Choking; Gagging; Aspiration — even small amounts during ingestion,Nausea; Vomiting (DANGEROUS — aspiration risk during vomiting; NEVER induce vomiting); Burning in mouth/throat; Abdominal pain,Petroleum odour on breath and vomit (strong — nearly always present); Coughing; Gagging,"STRONG PETROLEUM/ KEROSENE odour on breath, vomit, gastric contents (OFTEN STRONGLY PRESENT; OPTIONAL parameter — but highly reliable)",Ingestion (accidental — children <5 years most common; stored in soft drink bottles India); Aspiration primary hazard (not GI toxicity),Chest X-ray (aspiration pneumonitis — urgent); Blood (SpO2); Gastric lavage (CONTRAINDICATED — risk of aspiration)
T20,Kerosene / Petroleum Distillates,Volatile/Gas,Phase 2 — Pulmonary Phase (30 min–24 hrs),CNS depression (hydrocarbon CNS effect); Ataxia; Seizures (hypoxia or direct CNS); Coma (severe cases),Tachycardia; Arrhythmia (sensitisation to catecholamines — similar to OCP); Hypotension (severe),ASPIRATION PNEUMONITIS (HALLMARK): Fever; Tachypnoea; Bilateral crepitations; Cyanosis; Pulmonary infiltrates on CXR; Respiratory failure (ARDS pattern),Vomiting (continuing aspiration risk); GI irritation,Fever (chemical pneumonitis); Cyanosis; Liver toxicity (rare; halogenated HC more); Bone marrow suppression (chronic benzene exposure),PETROLEUM odour persists in breath and gastric contents; Strong and persistent,Ingestion (accidental; paediatric),Chest X-ray (aspiration pneumonitis pattern); Arterial blood gas (hypoxia); Blood (CBC; LFTs; SpO2); Gastric contents (GC-HS for HC)
T21,Copper Sulphate,Corrosive,Phase 1 — Acute GI (0–2 hrs),Headache; Dizziness; Anxiety,Tachycardia; Normal BP initially,Normal,PROMINENT GI EFFECTS: Nausea; VOMITING (BLUE-GREEN vomit — hallmark and near- diagnostic visual sign); Abdominal pain; Diarrhoea; Metallic taste; Burning in throat,BLUE-GREEN vomit and gastric contents (copper sulphate); Metallic/astringent taste; Conjunctival icterus (yellowing — early haemolysis sign),NO specific external odour (metallic taste but not external odour),Ingestion (suicidal — consuming dissolved blue crystals; accidental in food contamination; ritual use India); Dermal (industrial; skin burns),Gastric lavage (URGENT — before absorption); Blood (Cu level; haemolysis markers); Urine (haemoglobinuria)
T21,Copper Sulphate,Corrosive,Phase 2 — Haemolytic/Systemic (2–24 hrs),Confusion; Encephalopathy (copper toxicity + haemolysis + renal); Seizures (severe cases),Hypotension; Tachycardia; MethHb-related cardiac effects,Tachypnoea (anaemia/acidosis); Dyspnoea,Haematemesis (corrosive GI damage); Icterus (jaundice — haemolysis),INTRAVASCULAR HAEMOLYSIS (hallmark copper toxicity): Haemoglobinuria (brown/red urine); Jaundice (icteric sclerae); Methaemoglobinaemia; Acute renal failure; Hepatic damage (copper accumulation); Methylene blue for metHb if needed,NO significant external odour,Ingestion,Blood (serum copper; LDH; haemolysis panel; CBC; LFTs); Urine (haemoglobin; copper); Blood (MetHb level)
T21,Copper Sulphate,Corrosive,Phase 3 — Organ Failure (24–72 hrs),Coma; Encephalopathy (hepatic + copper direct CNS),Cardiovascular collapse; Shock,Respiratory failure (haemolytic anaemia + shock),Fulminant hepatic failure; Jaundice (deep),Acute renal failure (tubular damage; haemoglobin casts); Wilson-like acute copper toxicity; DIC; Multiorgan failure,NO significant external odour,Ingestion,Post-mortem: Blood; Liver (copper content by AAS/ICP-MS); Kidney; Gastric contents (blue-green material)
T22,Aconite / Aconitine,Plant/Botanical,Phase 1 — Neurological Early (0–30 min),"Paraesthesia/tingling of mouth, tongue, face, extremities (IMMEDIATE hallmark — neurological start); Dizziness; Weakness; Anxiety",Normal or early tachycardia,Normal,Nausea; Vomiting; Abdominal pain; Diarrhoea; Hypersalivation,BURNING and tingling of lips/tongue/face (pathognomonic early sign of aconite); Paraesthesia spreading to limbs; Weakness begins; Increased secretions,NO characteristic external odour,Ingestion (root/tuber; accidental — mixed with Ayurvedic prep; homicidal; food contamination); Traditional medicine (improperly processed aconite — Ayurveda),Gastric lavage (URGENT); Blood (aconitine by LC-MS/MS); Urine; ECG (urgent)
T22,Aconite / Aconitine,Plant/Botanical,Phase 2 — Cardiac/Paralytic (30 min–3 hrs) — RAPIDLY FATAL,Motor weakness (ascending); Ataxia; Hyporeflexia; CNS depression (late),CARDIAC ARRHYTHMIA (HALLMARK — most fatal feature): Ventricular tachycardia; Ventricular fibrillation; Bradycardia; Multiple ECG changes; Complete AV block; Cardiac arrest; Hypotension,Respiratory muscle paralysis; Dyspnoea; Respiratory failure; Apnoea,Vomiting; Diarrhoea persisting; Hypersalivation,GENERALISED PARALYSIS (ascending — from GI to limbs to respiratory); Hypotension (severe); Hypothermia; Diaphoresis; Death can occur within 1–6 hrs without treatment,NO characteristic external odour,Ingestion,Blood (aconitine; LC-MS/MS); ECG (continuous — arrhythmia detection); Blood (electrolytes); Urine
T22,Aconite / Aconitine,Plant/Botanical,Phase 3 — Fatal (>3 hrs — rapid progression),Coma; Brain death (hypoxia),Refractory ventricular fibrillation; Cardiac arrest; Cardiovascular collapse,Respiratory arrest; Apnoea; Cyanosis,,Death from cardiac arrhythmia or respiratory paralysis — VERY rapid; Post-mortem: Aconitine detectable in tissues (stable PM); No specific gross PM findings — toxicology critical for diagnosis,NO characteristic external odour,Ingestion,Post-mortem: Blood; Gastric contents; Liver; Bile; Urine (if available); LC-MS/MS for aconitine (GC-MS also usable)
T23,Calotropis,Plant/Botanical,Phase 1 — Local/GI Early (0–1 hr),Headache; Dizziness; Mild CNS effects,Tachycardia (early),Normal or mild tachypnoea,SEVERE GI IRRITATION: Nausea; Vomiting; Diarrhoea; Abdominal pain; Burning in mouth/throat (corrosive latex),OCULAR EFFECTS (if latex contacts eye): Severe conjunctivitis; Corneal ulceration; 'Milk latex' vesicles in mouth/skin; Dermal burns from latex; Local tissue necrosis,Milky latex odour (if plant parts present; OPTIONAL — faint),Ingestion (plant parts; leaves; latex; accidental/homicidal); Dermal (latex on skin; serious local burns); Ocular (latex in eye),Blood (calotropin by LC-MS/MS); Gastric lavage; ECG (cardiac glycoside monitoring)
T23,Calotropis,Plant/Botanical,Phase 2 — Systemic Cardiac (1–6 hrs),Confusion; Drowsiness; Weakness; CNS depression,CARDIAC ARRHYTHMIA (cardiac glycoside effect — similar to oleander/digoxin): Bradycardia; AV block; Ventricular arrhythmia; Hypotension; Hyperkalemia,Dyspnoea (cardiac failure); Respiratory depression,Vomiting persists; Diarrhoea,HYPERKALEMIA; Weakness (generalised); Myocardial depression; Similar to digitalis toxicity; Hyperthermia (some reports),NO significant odour at this stage,Ingestion,Blood (K+; ECG; calotropin by LC-MS/MS; cross-reacts with digoxin immunoassay); Serum electrolytes
T24,Benzodiazepines,Alkaloid/Drug,Phase 1 — Mild Sedation (30–90 min post-ingestion),Drowsiness; Sedation; Anterograde amnesia (hallmark — cannot form new memories); Reduced anxiety; Mild confusion; Ataxia,Mild hypotension; Mild bradycardia (slight),Mild respiratory rate reduction,Nausea; Mild GI irritation,Slurred speech; Ataxia (unsteady gait); Blurred vision; Muscle relaxation; Reduced coordination; Anterograde amnesia (very characteristic — victim cannot recall events after ingestion — forensic significance in DFSA),NO characteristic odour (tablets odourless; alcohol smell if combined ingestion),Ingestion (overdose; abuse); Injection (IV diazepam); DFSA (Drug Facilitated Sexual Assault) — alcohol + BZD covertly added to drink,Blood (BZD level — immunassay screen); Urine (up to 72 hrs; long-acting up to 7 days); Hair (DFSA investigations; detects back to 3–6 months)
T24,Benzodiazepines,Alkaloid/Drug,"Phase 2 — Moderate–Severe (>2 hrs, high dose or combined with alcohol)",DEEP SEDATION; Coma (BZD alone rarely causes deep coma unless combined with alcohol/opioids); Confusion; Hyporeflexia; Nystagmus,Hypotension; Bradycardia,Respiratory depression (SIGNIFICANT when combined with alcohol/ opioids — synergistic); Aspiration risk,Vomiting (aspiration risk in coma),"Hypothermia (mild); Flaccid muscles; Flumazenil reversal (diagnostic and therapeutic — if BZD-only, reverses within 1–2 min); NEVER lethal alone (BZD therapeutic index very wide) — DANGER only with co-ingestion",NO characteristic odour,Ingestion / IV injection,Blood (BZD by GC-MS; immunassay positive is screening); Gastric lavage; Urine (BZD metabolites)
T25,Paracetamol / Acetaminophen,Alkaloid/Drug,Phase 1 — Asymptomatic / GI (0–24 hrs),Minimal or NO CNS symptoms (deceptive quiet phase — patient feels 'ok' but liver damage begins); Mild nausea; Headache,Normal,Normal,Nausea; Vomiting; Abdominal discomfort (mild); Anorexia,DECEPTIVE LATENT PHASE: Patient appears well; Liver damage (NAPQI toxic metabolite) begins silently; No clinical signs of hepatotoxicity yet; PARADOX: mildest phase = greatest need for treatment (N-acetylcysteine now is most effective),NO characteristic odour,Ingestion (overdose; suicidal; accidental paediatric); Available OTC India — very common,Blood (paracetamol level — Rumack-Matthew nomogram; CRITICAL at 4 hrs); Liver function tests (AST/ALT — begin rising); INR
T25,Paracetamol / Acetaminophen,Alkaloid/Drug,Phase 2 — Hepatotoxic Phase (24–72 hrs) — CRITICAL,Confusion (hepatic encephalopathy begins if severe); Restlessness,Tachycardia; Hypotension (severe hepatic failure),Tachypnoea (metabolic acidosis),RIGHT UPPER QUADRANT PAIN (liver tenderness — hallmark phase 2); Nausea; Vomiting; Jaundice begins; Hepatomegaly,HEPATOCELLULAR NECROSIS (primary toxicity): Jaundice (icteric sclerae); Coagulopathy (INR rises); Liver enzymes: AST/ALT >1000 IU/L (hepatic zone 3 necrosis); Acute renal failure (hepatorenal syndrome); Hypoglycaemia,NO characteristic odour,Ingestion,Blood (AST; ALT; INR; bilirubin; BUN; creatinine; glucose); Paracetamol level (if still early); Arterial blood gas
T25,Paracetamol / Acetaminophen,Alkaloid/Drug,"Phase 3 — Fulminant Hepatic Failure (>72 hrs, severe cases)",Hepatic encephalopathy (Grade III–IV); Coma; Cerebral oedema,Cardiovascular collapse; Arrhythmia (electrolyte disturbance),Pulmonary oedema; Respiratory failure (ARDS pattern),Fulminant liver failure; Deep jaundice; Ascites,FULMINANT HEPATIC FAILURE: Coagulopathy (INR >6); Hypoglycaemia (severe); Metabolic acidosis; Multiorgan failure; Cerebral oedema; Death (if no transplant available); Post-mortem: Centrilobular hepatic necrosis (zone 3 — pathognomonic histopath),NO characteristic odour,Ingestion,Post-mortem: Liver (histopath — zone 3 centrilobular necrosis; diagnostic); Blood (paracetamol residual; LFTs; INR); Gastric contents
